year_read,work_id,sentiment,score
2018,26115977,sadness,33
2018,26115977,surprise,16
2018,26115977,trust,29
2018,3046572,anger,8
2018,3046572,anticipation,19
2018,3046572,disgust,7
2018,3046572,fear,11
2018,3046572,joy,15
2018,3046572,sadness,11
2018,3046572,surprise,13
2018,3046572,trust,21
2018,3143431,anger,19
2018,3143431,anticipation,30
2018,3143431,disgust,13
2018,3143431,fear,27
2018,3143431,joy,29
2018,3143431,sadness,28
2018,3143431,surprise,15
2018,3143431,trust,25
2018,438581,anger,25
2018,438581,anticipation,28
2018,438581,disgust,16
2018,438581,fear,29
2018,438581,joy,22
2018,438581,sadness,25
2018,438581,surprise,12
2018,438581,trust,26
2018,46213537,anger,24
2018,46213537,anticipation,14
2018,46213537,disgust,23
2018,46213537,fear,32
2018,46213537,joy,14
2018,46213537,sadness,31
2018,46213537,surprise,10
2018,46213537,trust,20
2018,50281866,anger,32
2018,50281866,anticipation,47
2018,50281866,disgust,34
2018,50281866,fear,51
2018,50281866,joy,43
2018,50281866,sadness,67
2018,50281866,surprise,19
2018,50281866,trust,59
2018,51228990,anger,24
2018,51228990,anticipation,30
2018,51228990,disgust,14
2018,51228990,fear,40
2018,51228990,joy,21
2018,51228990,sadness,34
2018,51228990,surprise,15
2018,51228990,trust,35
2018,52472813,anger,23
2018,52472813,anticipation,16
2018,52472813,disgust,12
2018,52472813,fear,34
2018,52472813,joy,13
2018,52472813,sadness,33
2018,52472813,surprise,14
2018,52472813,trust,21
2018,54863794,anger,0
2018,54863794,anticipation,0
2018,54863794,disgust,0
2018,54863794,fear,1
2018,54863794,joy,0
2018,54863794,sadness,2
2018,54863794,surprise,1
2018,54863794,trust,0
2018,57388909,anger,1
2018,57388909,anticipation,2
2018,57388909,disgust,1
2018,57388909,fear,2
2018,57388909,joy,2
2018,57388909,sadness,1
2018,57388909,surprise,2
2018,57388909,trust,4
2018,59181816,anger,4
2018,59181816,anticipation,7
2018,59181816,disgust,2
2018,59181816,fear,12
